bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,url,CategoriesList
111439,2023-11-07 15:50:07.820,Preparation of Consolidated Plan and Analysis of Impediments to Fair Housing Choice and the Fair Housing Plan,RFP 23-004-6400,2023-12-11 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,Estimated $50K,Los Angeles,https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111439,"['24047 - Other Management Consulting Services', '32855 - Housing Consulting', '33191 - Administration of Housing Programs', '33192 - Administration of Urban Planning and Community and Rural Development', '33664 - Consultant Fair Housing', '74644 - Consulting: Community Development', '74672 - Consulting: Governmental', '74675 - Consulting: Urban Planning', '74985 - Planning, Urban (Community, Regional, Area Wide, State)', '75120 - Consulting, Analytical Studies', '75799 - Land Development, Planning/Engineering', '75870 - Consulting Services, Administrative', '75873 - Consulting, Compliance', '76845 - Consulting Services']"
111387,2023-11-07 07:18:11.537,Document Imaging and Indexing Services,RFP 23-001-1200,2023-12-11 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,,Los Angeles,https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111387,"['24067 - Document Preparation Services', '51556 - Document Recovery Services, Disaster include Paper Documents, Film, Tape', '74937 - Security, Fire, Safety, and Emergency Services (including Disaster Document Recovery)', '75096 - Software, Inventory Management (Computer)', '75097 - Software, OCR, Scanner (Computer)']"
111889,2023-11-21 07:28:32.650,Certificate in Applied Positive Psychology Program (CAPP),23-002-1800,2024-01-03 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,TBD,Los Angeles,https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111889,"['32856 - Human Consulting: Including Mental Health Consulting', '32926 - Medical Consulting', '33188 - Administration of Public Health Programs', '75886 - Administration Services, Health', '76851 - Health Related Services']"
111355,2023-11-02 17:03:49.603,2024 Herbert Walkup Pipeline Replacement Project,,2023-12-15 14:00:00.000,3,1,2,1,False,21516,Bidding,Electronic,1,"$5,815,150.00",El Dorado,https://pbsystem.planetbids.com/portal/21516/bo/bo-detail/111355,"['34399 - Concrete And Metal Products, Culverts, Pilings, Septic Tanks, Accessories And Supplies', '34400 - Controlling, Indicating, Measuring, Monitoring, And Recording Instruments And Supplies ', '34587 - Material Handling, Conveyors, Storage Equipment And Accessories', '34607 - Pipe, Tubing, And Accessories (Not Fittings)', '34608 - Pipe And Tubing Fittings ', '34625 - Road And Highway Building Materials (Asphaltic) ', '34659 - Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water) ', '34765 - Public Utilities: Water, Sewer And Gas Maintenance And Repair ', '34773 - Shoring And Reinforcement Services ', '34786 - Construction Services, General (Incl. Maintenance And Repair Services)', '34790 - Construction Services, Heavy  (Incl. Maintenance And Repair Services)', '34798 - Concrete ', '34971 - Utility Services, Electric, Gas, Water ', '35059 - Public Works And Related Services ', '35145 - Construction, Utility/Underground Projects', '35146 - Construction, Water System, Main and Service Line', '35148 - Construction, Pipeline', '35149 - Construction, Sewer and Storm Drain', '48128 - Notify me of all future STPUD Engineering projects.']"
68779,2019-12-26 14:08:42.327,Request For Qualifications For On-Call Sewer CCTV Coding,,2024-12-26 14:00:00.000,3,2,2,8,False,21516,Bidding,Paper,1,,El Dorado,https://pbsystem.planetbids.com/portal/21516/bo/bo-detail/68779,"['34817 - Consulting Services ', '34876 - Data Processing, Computer, Programming, And Software Services', '34878 - Engineering Services, Professional ', '35059 - Public Works And Related Services ', '48128 - Notify me of all future STPUD Engineering projects.']"
76214,2020-08-27 11:36:11.607,On-Call Land Surveying and Other Geomatics Services,,2025-08-27 14:00:00.000,3,2,4,16,False,21516,Bidding,Paper,1,,El Dorado,https://pbsystem.planetbids.com/portal/21516/bo/bo-detail/76214,"['34662 - Aircraft And Airport Operations Services ', '34878 - Engineering Services, Professional ', '34879 - Environmental And Ecological Services ', '34927 - Miscellaneous Services, No. 1 (Not Otherwise Classified)', '34978 - Miscellaneous Services, No. 2  (Not Otherwise Classified)', '35017 - Mapping Services (Including Cartography And Surveying Services, Not Aerial)', '48128 - Notify me of all future STPUD Engineering projects.']"
80041,2021-02-04 16:32:50.457,On-Call Engineering Support Services,,2026-02-04 14:00:00.000,3,2,4,16,False,21516,Bidding,Paper,1,,El Dorado,https://pbsystem.planetbids.com/portal/21516/bo/bo-detail/80041,"['34717 - Geotechnical - Soils ', '34817 - Consulting Services ', '34842 - Engineering Consulting ', '34875 - Utilities: Gas, Water, Electric Consulting ', '34878 - Engineering Services, Professional ', '35059 - Public Works And Related Services ', '48128 - Notify me of all future STPUD Engineering projects.']"
80028,2021-02-04 16:32:02.990,On-Call Environmental Documentation And Permitting Services,,2026-02-04 14:00:00.000,3,2,4,16,False,21516,Bidding,Paper,1,,El Dorado,https://pbsystem.planetbids.com/portal/21516/bo/bo-detail/80028,"['34678 - Environmental - Architectural ', '34719 - Site Assessment And Site Field Observation ', '34817 - Consulting Services ', '34827 - Archeological Consulting ', '34842 - Engineering Consulting ', '34843 - Environmental Consulting ', '34875 - Utilities: Gas, Water, Electric Consulting ', '34878 - Engineering Services, Professional ', '34943 - Environmental Impact Studies ', '35059 - Public Works And Related Services ', '48128 - Notify me of all future STPUD Engineering projects.']"
80042,2021-02-04 16:31:02.490,On-Call Programming Services,,2026-02-04 14:00:00.000,3,2,4,16,False,21516,Bidding,Paper,1,,El Dorado,https://pbsystem.planetbids.com/portal/21516/bo/bo-detail/80042,"['34668 - Automation; Controls; Instrumentation - Architectural Services ', '34707 - Telecommunications Systems (Telephone, Radio, Etc.) - Architectural ', '34817 - Consulting Services ', '34835 - Computer Software Consulting ', '34842 - Engineering Consulting ', '34875 - Utilities: Gas, Water, Electric Consulting ', '35059 - Public Works And Related Services ', '48128 - Notify me of all future STPUD Engineering projects.']"
107892,2023-07-20 15:41:45.220,On-Call Corrosion Protection Services,,2028-07-20 17:00:00.000,3,2,4,16,False,21516,Bidding,Paper,1,,El Dorado,https://pbsystem.planetbids.com/portal/21516/bo/bo-detail/107892,"['34817 - Consulting Services ', '34842 - Engineering Consulting ', '34878 - Engineering Services, Professional ', '35059 - Public Works And Related Services ', '35061 - Corrosion Control Services ', '48128 - Notify me of all future STPUD Engineering projects.']"
